repo_path	repo_name	assigned_file	inspection_level	codebase_memory_status	nodes	edges	files_discovered	elapsed_sec	cache_dir	log_path	project	error_summary	updated_at
/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/arangodb-src	arangodb-src	graph-database-patterns-2.md	canonical_file_mentioned	indexed	552520	1658649	47166	475.39	/tmp/codex-code-intel/codebase-memory/gitrefrepo-each-20260707/cache	/tmp/codex-code-intel/codebase-memory/gitrefrepo-each-20260707/logs/arangodb-src.log	Users-amuldotexe-Desktop-personal-repos-lane-knight-bus-graph-walker-gitrefrepo-arangodb-src		2026-07-07T01:53:16.469439+00:00
/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/arcadedb-src	arcadedb-src	graph-database-patterns-2.md	canonical_file_mentioned	indexed	67844	405698	3655	11.10	/tmp/codex-code-intel/codebase-memory/gitrefrepo-each-20260707/cache	/tmp/codex-code-intel/codebase-memory/gitrefrepo-each-20260707/logs/arcadedb-src.log	Users-amuldotexe-Desktop-personal-repos-lane-knight-bus-graph-walker-gitrefrepo-arcadedb-src		2026-07-07T01:34:30.988201+00:00
/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/blazegraph-src	blazegraph-src	graph-database-patterns-2.md	canonical_file_mentioned	indexed	84146	403719	4729	18.81	/tmp/codex-code-intel/codebase-memory/gitrefrepo-each-20260707/cache	/tmp/codex-code-intel/codebase-memory/gitrefrepo-each-20260707/logs/blazegraph-src.log	Users-amuldotexe-Desktop-personal-repos-lane-knight-bus-graph-walker-gitrefrepo-blazegraph-src		2026-07-07T01:34:49.799031+00:00
/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/cayley-src	cayley-src	graph-database-patterns-2.md	canonical_file_mentioned	indexed	5231	24438	371	0.94	/tmp/codex-code-intel/codebase-memory/gitrefrepo-each-20260707/cache	/tmp/codex-code-intel/codebase-memory/gitrefrepo-each-20260707/logs/cayley-src.log	Users-amuldotexe-Desktop-personal-repos-lane-knight-bus-graph-walker-gitrefrepo-cayley-src		2026-07-07T01:34:50.746026+00:00
/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/clickhouse-src	clickhouse-src	graph-database-patterns-3.md	canonical_file_mentioned	timeout				600.25	/tmp/codex-code-intel/codebase-memory/gitrefrepo-each-20260707/cache	/tmp/codex-code-intel/codebase-memory/gitrefrepo-each-20260707/logs/clickhouse-src.log		timeout after 600s	2026-07-07T02:03:16.725254+00:00
/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/cugraph-src	cugraph-src	graph-database-patterns-4.md	canonical_file_mentioned	indexed	12423	48980	1366	9.85	/tmp/codex-code-intel/codebase-memory/gitrefrepo-each-20260707/cache	/tmp/codex-code-intel/codebase-memory/gitrefrepo-each-20260707/logs/cugraph-src.log	Users-amuldotexe-Desktop-personal-repos-lane-knight-bus-graph-walker-gitrefrepo-cugraph-src		2026-07-07T01:37:00.779671+00:00
/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/datafusion-comet-src	datafusion-comet-src	graph-database-patterns-3.md	canonical_file_mentioned	indexed	14937	46562	1241	1.45	/tmp/codex-code-intel/codebase-memory/gitrefrepo-each-20260707/cache	/tmp/codex-code-intel/codebase-memory/gitrefrepo-each-20260707/logs/datafusion-comet-src.log	Users-amuldotexe-Desktop-personal-repos-lane-knight-bus-graph-walker-gitrefrepo-datafusion-comet-src		2026-07-07T01:37:02.226946+00:00
/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/datafusion-python-src	datafusion-python-src	graph-database-patterns-3.md	canonical_file_mentioned	indexed	5455	25849	361	0.64	/tmp/codex-code-intel/codebase-memory/gitrefrepo-each-20260707/cache	/tmp/codex-code-intel/codebase-memory/gitrefrepo-each-20260707/logs/datafusion-python-src.log	Users-amuldotexe-Desktop-personal-repos-lane-knight-bus-graph-walker-gitrefrepo-datafusion-python-src		2026-07-07T01:37:02.872314+00:00
/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/dgraph-src	dgraph-src	graph-database-patterns-2.md	canonical_file_mentioned	indexed	18748	91934	958	2.05	/tmp/codex-code-intel/codebase-memory/gitrefrepo-each-20260707/cache	/tmp/codex-code-intel/codebase-memory/gitrefrepo-each-20260707/logs/dgraph-src.log	Users-amuldotexe-Desktop-personal-repos-lane-knight-bus-graph-walker-gitrefrepo-dgraph-src		2026-07-07T01:37:04.924861+00:00
/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/differential-dataflow-src	differential-dataflow-src	graph-database-patterns-4.md	canonical_file_mentioned	indexed	3514	13181	282	0.39	/tmp/codex-code-intel/codebase-memory/gitrefrepo-each-20260707/cache	/tmp/codex-code-intel/codebase-memory/gitrefrepo-each-20260707/logs/differential-dataflow-src.log	Users-amuldotexe-Desktop-personal-repos-lane-knight-bus-graph-walker-gitrefrepo-differential-dataflow-src		2026-07-07T01:37:05.317647+00:00
