repo	path	git_blob	bytes	extension	file_class	coverage_status	relevance	evidence_id
neo4j-browser-src	.eslintignore	4181368a1dc20e7ad1ff93bf188eb57608b2842b	57		noncode_artifact	noncode_classified	18	A03-000001
neo4j-browser-src	.eslintrc.json	ab7848a54cba982303c3d5843c26ebb9083abc27	3425	json	configuration	noncode_classified	25	A03-000002
neo4j-browser-src	.github/CODEOWNERS	c9cf71ff514311f3ec73410c5c87a3a65aa71bdc	29		noncode_artifact	noncode_classified	18	A03-000003
neo4j-browser-src	.github/ISSUE_TEMPLATE.md	9b463a8d4117700f8ed6857e405b59cbef2951fa	1581	md	documentation	noncode_classified	38	A03-000004
neo4j-browser-src	.github/PULL_REQUEST_TEMPLATE.md	f1762c1ef8c79001f4db73991ab6ca38743a9f77	665	md	documentation	noncode_classified	38	A03-000005
neo4j-browser-src	.github/neo4j-browser-screenshot.png	5e45c791e54e5e0bd1c267a4305ecb193ff116f2	279050	png	binary_asset	binary_classified	5	A03-000006
neo4j-browser-src	.github/workflows/pr-e2e-tests.yml	17d425e3bacf236bbe8a4e8bf7bf8e355a2dd234	1580	yml	configuration	noncode_classified	25	A03-000007
neo4j-browser-src	.github/workflows/pr-sso-tests.yml	a97e28647fe30ff99038128019db36db960d6430	1289	yml	configuration	noncode_classified	25	A03-000008
neo4j-browser-src	.github/workflows/pr-unit-tests.yml	d7ee64e8959c5addf00288412fa038a0985bca07	449	yml	configuration	noncode_classified	25	A03-000009
neo4j-browser-src	.gitignore	a47b85a3fb4cd9ea6808fde17b5260958fd4afef	313		noncode_artifact	noncode_classified	18	A03-000010
neo4j-browser-src	.npmignore	a5edb10d82fc07c309cd3f333b59e9b8662edb48	372		noncode_artifact	noncode_classified	18	A03-000011
neo4j-browser-src	.npmrc	5238475aa0bf5d3f1786ad1bc222797e4021444d	53		noncode_artifact	noncode_classified	18	A03-000012
neo4j-browser-src	.nvmrc	3027af39c1b9d9e072bf966c091f5c46147e9b10	8		noncode_artifact	noncode_classified	18	A03-000013
neo4j-browser-src	.prettierrc	f5588cc7ff3f1f7ecea0699c55435439ee325564	638		noncode_artifact	noncode_classified	18	A03-000014
neo4j-browser-src	CONTRIBUTING.md	5b9c4bc998fc44b85027affa43bdb3e4bc069741	1807	md	documentation	noncode_classified	38	A03-000015
