repo	path	git_blob	bytes	extension	file_class	coverage_status	relevance	evidence_id
gds-agent-src	.env	28c8b35ff4b674c555a7d4f4fa75915dced89b53	42		noncode_asset	noncode_classified	12	A02-000001
gds-agent-src	.github/workflows/pr-builds.yml	720711c20ba7dc971c25c1eec4026296995ccd5a	711	yml	build_config	noncode_classified	18	A02-000002
gds-agent-src	.gitignore	1d316bc8ee2f3d65dd0e48b3cf6d7f2fe484d299	170		noncode_asset	noncode_classified	12	A02-000003
gds-agent-src	CHANGELOG.md	24ba641fcc2a547d56dcfa0f431aae78ca6f6efb	1387	md	documentation	noncode_classified	32	A02-000004
gds-agent-src	LICENSE	d82c5d6c88a5d427edeb1817c2c578e6e19f56cf	1062		license_governance	direct_read	80	A02-000005
gds-agent-src	README.md	034a08a82283745dd758a88270819c3b6621f8b0	5666	md	documentation	direct_read	80	A02-000006
gds-agent-src	dataset/london-underground-graph.png	4cf6b54d7fb87a5b569085d4e59707dd3d074196	531906	png	binary_asset	binary_classified	5	A02-000007
gds-agent-src	dataset/london.json	bd6788fb25b87df84ef7e4f99a416b97991c984e	139484	json	fixture_data	noncode_classified	28	A02-000008
gds-agent-src	doc/gds-agent-london-underground-example.png	e092dba6ced1ff8f6b7d7809f143318c936d370b	432093	png	binary_asset	binary_classified	5	A02-000009
gds-agent-src	import_data.py	b8d13b8f9bb7eac88619d5a39273879608615200	3538	py	source	direct_read	76	A02-000010
gds-agent-src	mcp_server/.mcp.json	e48d7ef0e1f533d8b80d2e0eeff98b6cdb2d6763	214	json	fixture_data	noncode_classified	28	A02-000011
gds-agent-src	mcp_server/.python-version	2c0733315e415bfb5e5b353f9996ecd964d395b2	5		noncode_asset	noncode_classified	12	A02-000012
gds-agent-src	mcp_server/README.md	9e881b4e2dea89ea029e7f8ef2908e6b96ae7509	2835	md	documentation	noncode_classified	32	A02-000013
gds-agent-src	mcp_server/pyproject.toml	8b6903e97177bf73cafb8e5708b55a0e240c1ee9	1114	toml	build_config	noncode_classified	18	A02-000014
gds-agent-src	mcp_server/pytest.ini	b2945d0f230146367e14348bf3bf20db1a017867	178	ini	build_config	noncode_classified	18	A02-000015
gds-agent-src	mcp_server/src/mcp_server_neo4j_gds/__init__.py	c35ca7cdf32ce9e2994fb4f7db002ba0a0f29a66	3170	py	source	direct_read	76	A02-000016
gds-agent-src	mcp_server/src/mcp_server_neo4j_gds/algorithm_handler.py	4463a3a13f6771ba8252443ba5c1a0679e07c7c6	536	py	source	direct_read	76	A02-000017
gds-agent-src	mcp_server/src/mcp_server_neo4j_gds/centrality_algorithm_handlers.py	2917d9f79d9e833f5edfeebaefefd899e72dd67c	16017	py	source	direct_read	76	A02-000018
